Company Name,Company Number,Company Status,Company Type,Date of Creation,Date of Cessation,Registered Office Address,Locality,Postal Code,Region,SIC Codes,Coordinates,Location,Latitude,Longitude
SPIDERTEC LTD,12490001,dissolved,ltd,2020-02-28,2021-07-20,76c Davyhulme Road,Manchester,M41 7DN,N/A,"46520, 62090","76c Davyhulme Road, Manchester, M41 7DN",,,
OQEX GLOBAL LTD,12499461,dissolved,ltd,2020-03-05,2021-09-07,14 Commercial St,Manchester,M15 4PZ,N/A,62090,"14 Commercial St, Manchester, M15 4PZ","(53.4727236, -2.2504974)",53.4727236,-2.2504974
SIDD INTERNATIONAL SERVICES LTD,12525678,dissolved,ltd,2020-03-19,2021-05-04,7 Cleethorpes Avenue,Manchester,M9 8JT,N/A,"62020, 62090, 98000","7 Cleethorpes Avenue, Manchester, M9 8JT","(53.52524846443856, -2.23451578859829)",53.52524846443856,-2.23451578859829
NETCOMMS IT SOLUTIONS LTD,12528102,dissolved,ltd,2020-03-20,2024-05-14,26 Blue Moon Way,Manchester,M14 7SH,N/A,62090,"26 Blue Moon Way, Manchester, M14 7SH",,,
DCOURCYBROTHERS LTD,12549519,dissolved,ltd,2020-04-07,2022-08-23,5-7 New Road Radcliffe,Manchester,M26 1LS,N/A,62012,"5-7 New Road Radcliffe, Manchester, M26 1LS","(53.55710005, -2.3212964)",53.55710005,-2.3212964
INFINITM LIMITED,12556142,dissolved,ltd,2020-04-15,2022-01-04,290 Moston Lane,Manchester,M40 9WB,N/A,62090,"290 Moston Lane, Manchester, M40 9WB","(53.51654451012416, -2.1893932855580442)",53.51654451012416,-2.1893932855580442
ZEVIEWS LTD,12555370,dissolved,ltd,2020-04-14,2020-10-06,5 Marple Grove,Manchester,M32 0BD,Lancashire,"60200, 62090, 73120, 74909","5 Marple Grove, Manchester, M32 0BD",,,
SUBSKETCH LIMITED,12560440,dissolved,ltd,2020-04-16,2022-09-13,"Flat 601, 114 High Street",Manchester,M4 1HQ,N/A,62012,"Flat 601, 114 High Street, Manchester, M4 1HQ",,,
XIIUM LIMITED,12919857,dissolved,ltd,2020-10-01,2024-02-13,109 Cheetham Hill Road,Manchester,M8 8PY,N/A,"62020, 62090","109 Cheetham Hill Road, Manchester, M8 8PY","(53.4939342, -2.2397526)",53.4939342,-2.2397526
OPERATR LIMITED,12922794,dissolved,ltd,2020-10-02,2023-11-28,Apartment 608 71 Blackfriars Road,Salford,M3 7GR,Greater Manchester,62012,"Apartment 608 71 Blackfriars Road, Salford, M3 7GR",,,
ANALYTICSBEYOND LTD,12925838,dissolved,ltd,2020-10-03,2021-08-03,38 Brandforth Road,Manchester,M8 0AH,N/A,"62020, 63110","38 Brandforth Road, Manchester, M8 0AH","(53.510430012940176, -2.2265886052934447)",53.510430012940176,-2.2265886052934447
APOTECH LTD,12338748,dissolved,ltd,2019-11-28,2022-05-10,Flat 58 4 New Union Street,Manchester,M4 6FQ,N/A,"46190, 62012","Flat 58 4 New Union Street, Manchester, M4 6FQ",,,
MUNUFIE LTD,12346290,dissolved,ltd,2019-12-03,2023-02-14,25 Isca Street,Manchester,M11 3RN,N/A,"62012, 62020","25 Isca Street, Manchester, M11 3RN","(53.47864665, -2.2033482264193545)",53.47864665,-2.2033482264193545
SMART DWELL LIMITED,12354470,dissolved,ltd,2019-12-09,2022-01-18,18 Mount Street,Manchester,M30 7EX,N/A,"47990, 62090","18 Mount Street, Manchester, M30 7EX","(53.477371793265625, -2.2456822634312217)",53.477371793265625,-2.2456822634312217
TRAINEE APP LIMITED,12368461,dissolved,ltd,2019-12-18,2021-12-21,34 Manley Road,Manchester,M16 8HN,Lancashire,62090,"34 Manley Road, Manchester, M16 8HN","(53.44756905, -2.253725)",53.44756905,-2.253725
CCTV DOCK LTD,12369635,dissolved,ltd,2019-12-18,2023-12-26,11 Rectory Road,Manchester,M8 5EA,N/A,62090,"11 Rectory Road, Manchester, M8 5EA","(53.51686405023217, -2.242912952891742)",53.51686405023217,-2.242912952891742
MRA DATA LTD,12371841,dissolved,ltd,2019-12-19,2022-02-01,31 Malham Drive,Manchester,M45 8SD,N/A,62012,"31 Malham Drive, Manchester, M45 8SD","(53.54833771380699, -2.2819843039131777)",53.54833771380699,-2.2819843039131777
PIPELY LIMITED,12391403,dissolved,ltd,2020-01-08,2023-02-07,1 City Approach Albert Street,Manchester,M30 0BG,Lancashire,62012,"1 City Approach Albert Street, Manchester, M30 0BG",,,
PINK PIXL LTD,12399833,dissolved,ltd,2020-01-13,2022-08-16,"St James Tower,",Manchester,M1 4DZ,N/A,"59120, 62012, 73110","St James Tower,, Manchester, M1 4DZ","(53.4791867, -2.2392702)",53.4791867,-2.2392702
KWIK IT SOLUTIONS LTD,12402941,liquidation,ltd,2020-01-14,N/A,Fortis Insolvency Limited 683-693 Wilmslow Road,Manchester,M20 6RE,N/A,"62012, 62020, 62030","Fortis Insolvency Limited 683-693 Wilmslow Road, Manchester, M20 6RE",,,
